X,CH1,
Second,Volt,
-8.40000e-06,7.59e-02,
-8.30000e-06,-7.40e-02,
-8.20000e-06,-7.20e-02,
-8.10000e-06,7.59e-02,
-8.00000e-06,6.80e-02,
-7.90000e-06,-7.59e-02,
-7.80000e-06,7.59e-02,
-7.70000e-06,-7.59e-02,
-7.60000e-06,-7.00e-02,
-7.50000e-06,7.59e-02,
-7.40000e-06,-7.40e-02,
-7.30000e-06,7.00e-02,
-7.20000e-06,-7.00e-02,
-7.10000e-06,7.59e-02,
-7.00000e-06,7.20e-02,
-6.90000e-06,-7.40e-02,
-6.80000e-06,-7.40e-02,
-6.70000e-06,6.59e-02,
-6.60000e-06,-7.40e-02,
-6.50000e-06,7.20e-02,
-6.40000e-06,-7.00e-02,
-6.30000e-06,7.40e-02,
-6.20000e-06,-7.00e-02,
-6.10000e-06,7.20e-02,
-6.00000e-06,-7.00e-02,
-5.90000e-06,7.20e-02,
-5.80000e-06,-7.59e-02,
-5.70000e-06,6.59e-02,
-5.60000e-06,-7.00e-02,
-5.50000e-06,7.59e-02,
-5.40000e-06,7.59e-02,
-5.30000e-06,-6.80e-02,
-5.20000e-06,-7.40e-02,
-5.10000e-06,7.40e-02,
-5.00000e-06,7.40e-02,
-4.90000e-06,-7.40e-02,
-4.80000e-06,-7.40e-02,
-4.70000e-06,7.40e-02,
-4.60000e-06,7.20e-02,
-4.50000e-06,-7.40e-02,
-4.40000e-06,7.40e-02,
-4.30000e-06,-7.00e-02,
-4.20000e-06,7.59e-02,
-4.10000e-06,-7.20e-02,
-4.00000e-06,7.59e-02,
-3.90000e-06,-7.40e-02,
-3.80000e-06,6.80e-02,
-3.70000e-06,-7.40e-02,
-3.60000e-06,7.40e-02,
-3.50000e-06,-7.40e-02,
-3.40000e-06,-7.00e-02,
-3.30000e-06,7.59e-02,
-3.20000e-06,-7.40e-02,
-3.10000e-06,7.59e-02,
-3.00000e-06,-7.00e-02,
-2.90000e-06,6.80e-02,
-2.80000e-06,6.59e-02,
-2.70000e-06,-6.59e-02,
-2.60000e-06,6.80e-02,
-2.50000e-06,-6.59e-02,
-2.40000e-06,6.40e-02,
-2.30000e-06,-6.59e-02,
-2.20000e-06,-6.80e-02,
-2.10000e-06,7.20e-02,
-2.00000e-06,7.40e-02,
-1.90000e-06,-7.20e-02,
-1.80000e-06,-7.00e-02,
-1.70000e-06,6.80e-02,
-1.60000e-06,-7.00e-02,
-1.50000e-06,7.59e-02,
