X,CH1,
Second,Volt,
-9.60000e-06,-2.16e-03,
-9.50000e-06,1.76e-03,
-9.40000e-06,-1.76e-03,
-9.30000e-06,1.84e-03,
-9.20000e-06,1.68e-03,
-9.10000e-06,-1.28e-03,
-9.00000e-06,1.36e-03,
-8.90000e-06,-1.76e-03,
-8.80000e-06,9.60e-04,
-8.70000e-06,-1.92e-03,
-8.60000e-06,-1.84e-03,
-8.50000e-06,1.20e-03,
-8.40000e-06,-1.52e-03,
-8.30000e-06,1.44e-03,
-8.20000e-06,-1.12e-03,
-8.10000e-06,1.60e-03,
-8.00000e-06,1.52e-03,
-7.90000e-06,-1.84e-03,
-7.80000e-06,5.60e-04,
-7.70000e-06,-2.48e-03,
-7.60000e-06,1.76e-03,
-7.50000e-06,-1.60e-03,
-7.40000e-06,-1.52e-03,
-7.30000e-06,1.52e-03,
-7.20000e-06,2.16e-03,
-7.10000e-06,-8.00e-04,
-7.00000e-06,2.00e-03,
-6.90000e-06,-1.60e-03,
-6.80000e-06,-1.60e-03,
-6.70000e-06,8.80e-04,
-6.60000e-06,-1.68e-03,
-6.50000e-06,7.20e-04,
-6.40000e-06,-1.28e-03,
-6.30000e-06,1.20e-03,
-6.20000e-06,-8.00e-04,
-6.10000e-06,1.68e-03,
-6.00000e-06,1.52e-03,
-5.90000e-06,-1.12e-03,
-5.80000e-06,1.20e-03,
-5.70000e-06,-1.20e-03,
-5.60000e-06,8.80e-04,
-5.50000e-06,-1.92e-03,
-5.40000e-06,-1.84e-03,
-5.30000e-06,1.20e-03,
-5.20000e-06,1.44e-03,
-5.10000e-06,-1.28e-03,
-5.00000e-06,2.00e-03,
-4.90000e-06,-1.20e-03,
-4.80000e-06,1.52e-03,
-4.70000e-06,-1.76e-03,
-4.60000e-06,-1.52e-03,
-4.50000e-06,1.52e-03,
-4.40000e-06,1.20e-03,
-4.30000e-06,-2.08e-03,
-4.20000e-06,-1.84e-03,
-4.10000e-06,1.20e-03,
-4.00000e-06,1.52e-03,
-3.90000e-06,-1.76e-03,
-3.80000e-06,1.44e-03,
-3.70000e-06,-1.60e-03,
-3.60000e-06,1.52e-03,
-3.50000e-06,-1.44e-03,
-3.40000e-06,1.36e-03,
-3.30000e-06,-2.00e-03,
-3.20000e-06,-1.76e-03,
